,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
0,2019-05-24 00:00:00,15,71.9,9,69.7,12,62.7,36,68.3,3,100
1,2019-05-24 00:05:00,12,71.8,4,69.6,12,63.0,28,67.7,3,100
2,2019-05-24 00:10:00,9,71.8,5,69.5,14,63.0,28,67.0,3,100
3,2019-05-24 00:15:00,6,71.9,0,69.5,12,63.4,18,66.2,3,100
4,2019-05-24 00:20:00,10,72.0,6,69.0,10,63.3,26,68.0,3,100
5,2019-05-24 00:25:00,11,72.0,0,69.0,13,63.0,24,67.1,3,100
6,2019-05-24 00:30:00,7,71.9,0,69.0,11,63.3,18,66.6,3,100
7,2019-05-24 00:35:00,7,71.8,3,69.0,10,62.7,20,66.8,3,100
8,2019-05-24 00:40:00,6,71.9,5,69.4,14,63.4,25,66.6,3,100
9,2019-05-24 00:45:00,7,71.9,3,69.6,7,63.1,17,67.9,3,100
10,2019-05-24 00:50:00,8,71.8,3,69.7,8,63.3,19,67.9,3,100
11,2019-05-24 00:55:00,7,71.9,2,69.8,13,63.2,22,66.6,3,100
12,2019-05-24 01:00:00,7,71.7,3,69.9,6,62.4,16,67.9,3,100
13,2019-05-24 01:05:00,11,71.7,4,69.7,10,62.9,25,67.9,3,100
14,2019-05-24 01:10:00,5,71.7,1,70.1,10,60.5,16,64.6,3,100
15,2019-05-24 01:15:00,8,71.8,3,70.3,11,60.1,22,65.7,3,100
16,2019-05-24 01:20:00,6,71.7,1,69.6,9,61.6,16,65.9,3,100
17,2019-05-24 01:25:00,1,72.0,2,69.6,9,62.4,12,64.4,3,100
18,2019-05-24 01:30:00,4,71.9,3,69.7,4,62.7,11,68.0,3,100
19,2019-05-24 01:35:00,9,71.9,1,69.9,12,58.6,22,64.6,3,100
20,2019-05-24 01:40:00,6,71.9,5,69.9,10,60.1,21,65.8,3,100
21,2019-05-24 01:45:00,6,71.9,4,69.6,9,61.3,19,66.4,3,100
22,2019-05-24 01:50:00,7,71.8,2,69.7,9,60.4,18,65.9,3,100
23,2019-05-24 01:55:00,9,71.8,2,69.8,12,61.4,23,66.2,3,100
24,2019-05-24 02:00:00,8,71.8,0,69.8,12,62.0,20,65.9,3,100
25,2019-05-24 02:05:00,2,71.8,1,69.7,4,62.6,7,66.2,3,100
26,2019-05-24 02:10:00,5,71.8,0,69.7,3,62.9,8,68.5,3,100
27,2019-05-24 02:15:00,8,71.8,2,69.6,5,62.9,15,68.5,3,100
28,2019-05-24 02:20:00,4,71.8,1,69.9,7,62.3,12,66.1,3,100
29,2019-05-24 02:25:00,7,71.8,0,69.9,2,62.7,9,69.8,3,100
30,2019-05-24 02:30:00,4,71.8,1,69.9,5,63.0,10,67.2,3,100
31,2019-05-24 02:35:00,5,71.8,0,69.9,10,62.6,15,65.7,3,100
32,2019-05-24 02:40:00,2,71.8,1,69.7,3,61.9,6,66.5,3,100
33,2019-05-24 02:45:00,5,71.8,3,69.4,3,61.9,11,68.4,3,100
34,2019-05-24 02:50:00,3,71.8,0,69.4,6,60.0,9,63.9,3,100
35,2019-05-24 02:55:00,3,71.8,2,69.6,8,61.5,13,65.1,3,100
36,2019-05-24 03:00:00,5,71.9,1,69.1,4,61.7,10,67.5,3,100
37,2019-05-24 03:05:00,1,71.9,5,69.4,6,62.4,12,66.1,3,100
38,2019-05-24 03:10:00,10,71.9,1,69.5,7,61.8,18,67.8,3,100
39,2019-05-24 03:15:00,10,71.8,2,69.6,7,62.0,19,68.0,3,100
40,2019-05-24 03:20:00,3,71.9,2,69.3,8,62.6,13,65.8,3,100
41,2019-05-24 03:25:00,6,71.8,1,69.7,10,62.4,17,66.1,3,100
42,2019-05-24 03:30:00,7,71.9,1,69.3,10,61.1,18,65.8,3,100
43,2019-05-24 03:35:00,5,72.0,2,69.3,5,61.4,12,67.1,3,100
44,2019-05-24 03:40:00,4,71.6,1,69.5,4,62.2,9,67.2,3,100
45,2019-05-24 03:45:00,5,71.8,2,69.7,8,62.3,15,66.5,3,100
46,2019-05-24 03:50:00,5,71.8,1,69.5,10,62.7,16,66.0,3,100
47,2019-05-24 03:55:00,5,71.9,2,69.6,12,61.2,19,64.9,3,100
48,2019-05-24 04:00:00,8,71.6,4,69.5,7,62.1,19,67.7,3,100
49,2019-05-24 04:05:00,5,71.7,2,69.6,5,62.8,12,67.6,3,100
50,2019-05-24 04:10:00,7,71.8,4,69.4,11,62.7,22,66.8,3,100
51,2019-05-24 04:15:00,1,71.9,6,69.5,13,62.6,20,65.1,3,100
52,2019-05-24 04:20:00,6,71.9,1,69.4,16,61.8,23,64.8,3,100
53,2019-05-24 04:25:00,7,71.9,4,69.6,22,62.2,33,65.2,3,100
54,2019-05-24 04:30:00,3,71.9,8,69.3,6,62.3,17,67.3,3,100
55,2019-05-24 04:35:00,11,71.8,4,69.5,14,61.1,29,66.3,3,100
56,2019-05-24 04:40:00,13,71.7,4,69.6,15,62.1,32,66.9,3,100
57,2019-05-24 04:45:00,15,71.9,6,69.7,25,57.6,46,63.8,3,100
58,2019-05-24 04:50:00,12,71.9,6,69.8,12,60.3,30,66.8,3,100
59,2019-05-24 04:55:00,6,72.0,3,69.9,14,61.4,23,65.3,3,100
60,2019-05-24 05:00:00,7,72.0,5,69.6,19,62.0,31,65.5,3,100
61,2019-05-24 05:05:00,8,71.9,4,69.7,14,62.2,26,66.3,3,100
62,2019-05-24 05:10:00,12,72.0,6,69.8,21,61.9,39,66.2,3,100
63,2019-05-24 05:15:00,17,72.0,9,69.8,21,61.6,47,66.9,3,100
