,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
0,2019-03-29 00:00:00,10,71.9,1,69.7,16,62.7,27,66.4,3,100
1,2019-03-29 00:05:00,13,71.8,6,69.8,12,61.7,31,67.5,3,100
2,2019-03-29 00:10:00,9,71.8,4,69.7,9,62.4,22,67.6,3,100
3,2019-03-29 00:15:00,4,71.9,1,69.7,14,62.9,19,65.2,3,100
4,2019-03-29 00:20:00,9,71.9,6,69.4,16,63.3,31,67.0,3,100
5,2019-03-29 00:25:00,5,71.8,2,69.7,8,62.7,15,66.7,3,100
6,2019-03-29 00:30:00,13,72.0,3,69.8,13,63.2,29,67.8,3,100
7,2019-03-29 00:35:00,6,72.0,3,69.8,7,63.2,16,67.7,3,100
8,2019-03-29 00:40:00,9,72.0,1,69.9,12,62.9,22,66.9,3,100
9,2019-03-29 00:45:00,7,71.9,1,69.8,11,62.4,19,66.3,3,100
10,2019-03-29 00:50:00,8,71.9,1,69.7,12,61.8,21,66.0,3,100
11,2019-03-29 00:55:00,5,71.9,1,69.8,11,62.5,17,65.7,3,100
12,2019-03-29 01:00:00,9,72.0,3,69.6,6,62.2,18,68.3,3,100
13,2019-03-29 01:05:00,6,71.9,3,69.7,6,62.2,15,67.6,3,100
14,2019-03-29 01:10:00,5,71.9,0,69.7,11,62.9,16,65.7,3,100
15,2019-03-29 01:15:00,3,71.9,3,69.4,4,62.4,10,67.3,3,100
16,2019-03-29 01:20:00,9,71.9,3,69.4,10,62.5,22,67.3,3,100
17,2019-03-29 01:25:00,7,71.9,2,69.7,6,62.9,15,68.0,3,100
18,2019-03-29 01:30:00,3,71.9,0,69.7,10,62.4,13,64.6,3,100
19,2019-03-29 01:35:00,11,71.8,1,69.4,5,61.9,17,68.7,3,100
20,2019-03-29 01:40:00,5,71.9,6,69.3,7,62.1,18,67.2,3,100
21,2019-03-29 01:45:00,7,71.8,2,69.5,13,59.1,22,64.1,3,100
22,2019-03-29 01:50:00,4,71.9,0,69.5,9,58.9,13,62.9,3,100
23,2019-03-29 01:55:00,3,71.9,1,69.6,8,60.2,12,63.9,3,100
24,2019-03-29 02:00:00,4,71.8,2,69.7,7,60.5,13,65.4,3,100
25,2019-03-29 02:05:00,4,71.7,2,69.4,7,61.2,13,65.7,3,100
26,2019-03-29 02:10:00,4,71.6,1,69.5,2,62.0,7,68.6,3,100
27,2019-03-29 02:15:00,4,71.7,2,69.3,7,62.3,13,66.3,3,100
28,2019-03-29 02:20:00,2,71.9,1,69.1,4,62.6,7,66.2,3,100
29,2019-03-29 02:25:00,3,71.8,0,69.1,4,62.9,7,66.7,3,100
30,2019-03-29 02:30:00,1,71.8,0,69.1,4,61.9,5,63.9,3,100
31,2019-03-29 02:35:00,5,71.8,3,69.0,5,62.4,13,67.5,3,100
32,2019-03-29 02:40:00,2,71.8,3,69.4,4,62.4,9,66.8,3,100
33,2019-03-29 02:45:00,1,71.9,1,69.5,9,62.5,11,64.0,3,100
34,2019-03-29 02:50:00,4,71.9,1,69.6,6,62.4,11,66.5,3,100
35,2019-03-29 02:55:00,4,71.9,0,69.6,7,62.0,11,65.6,3,100
36,2019-03-29 03:00:00,1,71.8,1,69.6,6,62.6,8,64.6,3,100
37,2019-03-29 03:05:00,4,71.8,2,69.7,4,62.9,10,67.8,3,100
38,2019-03-29 03:10:00,4,71.8,1,69.8,4,62.1,9,67.3,3,100
39,2019-03-29 03:15:00,3,71.7,0,69.8,4,62.4,7,66.4,3,100
40,2019-03-29 03:20:00,9,71.8,0,69.8,7,62.2,16,67.6,3,100
41,2019-03-29 03:25:00,2,71.7,0,69.8,5,62.7,7,65.3,3,100
42,2019-03-29 03:30:00,6,71.7,1,69.6,6,61.6,13,66.9,3,100
43,2019-03-29 03:35:00,3,71.7,0,69.6,4,61.8,7,66.0,3,100
44,2019-03-29 03:40:00,6,71.8,2,69.8,7,61.7,15,66.8,3,100
45,2019-03-29 03:45:00,5,71.9,0,69.8,7,62.6,12,66.5,3,100
46,2019-03-29 03:50:00,5,71.9,1,70.0,8,62.5,14,66.4,3,100
47,2019-03-29 03:55:00,7,71.9,3,69.7,19,61.1,29,64.6,3,100
48,2019-03-29 04:00:00,5,71.9,2,69.7,8,62.1,15,66.4,3,100
49,2019-03-29 04:05:00,6,72.0,1,69.6,10,60.4,17,65.0,3,100
50,2019-03-29 04:10:00,5,72.1,1,69.7,5,61.0,11,66.8,3,100
51,2019-03-29 04:15:00,4,72.0,0,69.7,9,61.7,13,64.9,3,100
52,2019-03-29 04:20:00,7,72.0,4,69.7,11,62.4,22,66.8,3,100
53,2019-03-29 04:25:00,3,71.9,6,69.9,16,61.3,25,64.6,3,100
54,2019-03-29 04:30:00,7,71.9,5,69.4,14,62.0,26,66.1,3,100
55,2019-03-29 04:35:00,4,71.9,6,69.5,14,62.6,24,65.9,3,100
56,2019-03-29 04:40:00,12,71.8,7,69.6,12,62.4,31,67.7,3,100
57,2019-03-29 04:45:00,13,71.6,3,69.6,16,62.2,32,66.7,3,100
58,2019-03-29 04:50:00,12,71.9,10,69.8,18,62.9,40,67.3,3,100
59,2019-03-29 04:55:00,5,71.9,7,69.8,9,62.3,21,67.1,3,100
60,2019-03-29 05:00:00,10,71.9,5,69.8,14,62.0,29,66.8,3,100
61,2019-03-29 05:05:00,8,71.8,7,69.8,14,61.3,29,66.2,3,100
62,2019-03-29 05:10:00,12,71.9,9,69.7,15,62.0,36,67.2,3,100
63,2019-03-29 05:15:00,13,71.8,7,69.9,23,61.6,43,66.0,3,100
64,2019-03-29 05:20:00,9,71.9,11,69.8,18,61.5,38,66.4,3,100
65,2019-03-29 05:25:00,16,71.7,11,69.8,23,63.2,50,67.4,3,100
66,2019-03-29 05:30:00,30,71.8,12,70.0,33,65.2,75,68.6,3,100
67,2019-03-29 05:35:00,19,71.9,14,69.8,23,65.2,56,68.6,3,100
68,2019-03-29 05:40:00,24,71.9,11,69.3,35,64.2,70,67.6,3,100
69,2019-03-29 05:45:00,26,71.6,14,69.3,30,61.0,70,66.6,3,100
70,2019-03-29 05:50:00,31,72.1,6,69.6,35,63.2,72,67.6,3,100
71,2019-03-29 05:55:00,26,71.8,11,69.6,27,62.4,64,67.5,3,100
72,2019-03-29 06:00:00,11,71.8,12,69.5,23,61.6,46,66.1,3,100
73,2019-03-29 06:05:00,19,71.8,17,69.7,26,63.4,62,67.7,3,100
74,2019-03-29 06:10:00,34,71.2,19,69.4,27,59.8,80,66.9,3,100
75,2019-03-29 06:15:00,31,71.4,13,69.6,36,58.4,80,65.3,3,100
76,2019-03-29 06:20:00,39,71.5,13,69.6,46,59.4,98,65.6,3,100
77,2019-03-29 06:25:00,39,71.6,9,69.7,37,58.9,85,65.9,3,100
78,2019-03-29 06:30:00,37,71.1,12,69.4,41,59.5,90,65.6,3,100
79,2019-03-29 06:35:00,31,71.5,11,68.7,37,63.3,79,67.3,3,100
80,2019-03-29 06:40:00,56,71.3,19,67.9,47,61.8,122,67.1,3,100
81,2019-03-29 06:45:00,47,71.4,22,69.1,43,58.1,112,65.8,3,100
82,2019-03-29 06:50:00,63,71.4,29,68.2,47,60.1,139,66.9,3,100
83,2019-03-29 06:55:00,28,71.6,11,68.6,31,62.9,70,67.3,3,100
84,2019-03-29 07:00:00,61,71.0,20,68.9,53,64.9,134,68.3,3,100
85,2019-03-29 07:05:00,54,71.3,25,69.3,43,64.7,122,68.6,3,100
86,2019-03-29 07:10:00,57,71.3,19,69.3,48,55.5,124,64.9,3,100
87,2019-03-29 07:15:00,56,71.8,13,68.9,50,59.9,119,66.5,3,100
88,2019-03-29 07:20:00,53,72.3,22,69.5,44,61.4,119,67.8,3,100
89,2019-03-29 07:25:00,85,70.6,42,69.5,70,63.9,197,68.0,3,100
90,2019-03-29 07:30:00,61,71.8,22,69.2,55,67.3,138,69.6,3,100
91,2019-03-29 07:35:00,83,72.0,40,70.6,73,67.2,196,69.9,3,100
92,2019-03-29 07:40:00,79,71.5,35,70.3,66,67.0,180,69.6,3,100
93,2019-03-29 07:45:00,79,71.2,32,70.3,66,63.3,177,68.1,3,100
94,2019-03-29 07:50:00,65,71.5,28,70.8,49,56.5,142,66.2,3,100
95,2019-03-29 07:55:00,83,72.6,43,70.9,54,55.1,180,66.9,3,100
96,2019-03-29 08:00:00,58,72.6,30,70.5,45,60.8,133,68.1,3,100
97,2019-03-29 08:05:00,85,71.6,36,70.3,68,59.5,189,67.0,3,100
