,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
0,2019-04-12 00:00:00,13,71.9,6,69.7,20,62.7,39,66.8,3,100
1,2019-04-12 00:05:00,12,71.8,5,69.6,11,63.0,28,67.9,3,100
2,2019-04-12 00:10:00,7,71.8,4,69.6,10,63.0,21,67.2,3,100
3,2019-04-12 00:15:00,9,71.8,3,69.4,18,62.9,30,66.2,3,100
4,2019-04-12 00:20:00,9,71.9,7,69.5,12,62.0,28,67.1,3,100
5,2019-04-12 00:25:00,12,71.9,3,69.7,9,62.1,24,68.0,3,100
6,2019-04-12 00:30:00,5,71.9,3,69.5,18,63.0,26,65.5,3,100
7,2019-04-12 00:35:00,4,71.9,1,69.4,8,62.6,13,66.0,3,100
8,2019-04-12 00:40:00,7,71.9,2,69.3,10,62.6,19,66.7,3,100
9,2019-04-12 00:45:00,5,72.0,3,69.4,11,63.0,19,66.4,3,100
10,2019-04-12 00:50:00,6,72.0,4,69.5,10,61.6,20,66.3,3,100
11,2019-04-12 00:55:00,8,72.0,3,69.5,10,62.4,21,67.1,3,100
12,2019-04-12 01:00:00,5,71.8,4,69.2,13,62.0,22,65.5,3,100
13,2019-04-12 01:05:00,2,71.9,0,69.2,7,62.1,9,64.3,3,100
14,2019-04-12 01:10:00,5,71.9,4,69.3,7,62.3,16,67.0,3,100
15,2019-04-12 01:15:00,3,71.9,1,69.5,6,62.0,10,65.7,3,100
16,2019-04-12 01:20:00,6,71.9,4,69.4,4,62.7,14,68.6,3,100
17,2019-04-12 01:25:00,11,71.9,6,69.1,5,63.1,22,69.1,3,100
18,2019-04-12 01:30:00,3,71.9,2,69.4,10,61.4,15,64.6,3,100
19,2019-04-12 01:35:00,7,71.9,1,69.5,7,62.5,15,67.4,3,100
20,2019-04-12 01:40:00,7,71.9,3,69.8,5,63.2,15,68.6,3,100
21,2019-04-12 01:45:00,12,72.0,4,69.5,12,63.1,28,67.8,3,100
22,2019-04-12 01:50:00,6,72.0,3,69.7,8,63.4,17,67.5,3,100
23,2019-04-12 01:55:00,6,71.9,2,69.7,10,61.8,18,66.0,3,100
24,2019-04-12 02:00:00,4,71.5,3,69.1,8,62.7,15,66.3,3,100
25,2019-04-12 02:05:00,4,71.7,0,69.1,3,63.1,7,68.0,3,100
26,2019-04-12 02:10:00,3,71.8,4,68.7,9,62.1,16,65.6,3,100
27,2019-04-12 02:15:00,3,71.9,2,68.9,6,62.8,11,66.4,3,100
28,2019-04-12 02:20:00,8,71.9,1,69.3,6,62.6,15,68.0,3,100
29,2019-04-12 02:25:00,3,72.0,3,69.6,7,62.5,13,66.3,3,100
30,2019-04-12 02:30:00,4,71.9,1,69.6,8,62.9,13,66.2,3,100
31,2019-04-12 02:35:00,3,71.9,0,69.6,9,62.9,12,65.2,3,100
32,2019-04-12 02:40:00,3,71.9,0,69.6,6,63.1,9,66.0,3,100
33,2019-04-12 02:45:00,6,71.8,3,69.6,6,63.4,15,68.0,3,100
34,2019-04-12 02:50:00,5,71.9,1,69.6,7,63.6,13,67.3,3,100
35,2019-04-12 02:55:00,5,71.9,2,69.6,5,63.0,12,67.8,3,100
36,2019-04-12 03:00:00,3,71.9,3,69.8,7,61.6,13,65.9,3,100
37,2019-04-12 03:05:00,1,71.7,1,69.8,8,61.6,10,63.4,3,100
38,2019-04-12 03:10:00,4,71.8,1,69.6,5,62.3,10,66.8,3,100
39,2019-04-12 03:15:00,6,71.8,0,69.6,5,61.7,11,67.2,3,100
40,2019-04-12 03:20:00,1,71.9,1,69.6,7,62.1,9,64.0,3,100
41,2019-04-12 03:25:00,4,71.8,2,69.6,6,62.1,12,66.6,3,100
42,2019-04-12 03:30:00,3,71.7,3,69.6,4,62.0,10,67.2,3,100
43,2019-04-12 03:35:00,5,71.7,1,69.7,5,62.6,11,67.4,3,100
44,2019-04-12 03:40:00,4,71.9,3,69.7,7,61.5,14,66.2,3,100
45,2019-04-12 03:45:00,8,71.9,1,69.1,4,62.3,13,68.7,3,100
46,2019-04-12 03:50:00,5,71.9,3,69.4,9,62.1,17,66.3,3,100
47,2019-04-12 03:55:00,8,71.9,3,69.6,10,62.7,21,67.2,3,100
48,2019-04-12 04:00:00,2,71.9,4,69.7,2,63.0,8,68.6,3,100
49,2019-04-12 04:05:00,9,71.9,5,69.5,11,60.2,25,66.3,3,100
50,2019-04-12 04:10:00,3,71.9,3,69.7,10,60.9,16,64.6,3,100
51,2019-04-12 04:15:00,6,71.9,2,68.8,8,62.3,16,66.7,3,100
52,2019-04-12 04:20:00,9,72.0,4,69.5,6,62.3,19,68.4,3,100
53,2019-04-12 04:25:00,8,72.0,3,69.7,15,62.7,26,66.4,3,100
54,2019-04-12 04:30:00,7,71.9,2,69.8,14,63.2,23,66.4,3,100
55,2019-04-12 04:35:00,3,71.9,6,69.8,12,63.4,21,66.4,3,100
56,2019-04-12 04:40:00,10,71.9,3,69.8,13,63.2,26,67.3,3,100
57,2019-04-12 04:45:00,10,72.0,7,69.8,16,63.6,33,67.5,3,100
58,2019-04-12 04:50:00,8,72.0,7,69.8,20,64.0,35,67.0,3,100
59,2019-04-12 04:55:00,11,72.0,10,69.4,16,64.2,37,67.9,3,100
60,2019-04-12 05:00:00,11,71.9,6,69.5,13,62.3,30,67.3,3,100
61,2019-04-12 05:05:00,13,72.0,3,69.5,13,62.7,29,67.6,3,100
62,2019-04-12 05:10:00,15,71.6,10,69.6,15,62.4,40,67.7,3,100
63,2019-04-12 05:15:00,14,71.8,13,69.3,21,62.3,48,67.0,3,100
64,2019-04-12 05:20:00,24,71.8,13,69.1,23,62.7,60,67.7,3,100
65,2019-04-12 05:25:00,11,71.8,7,69.3,20,63.0,38,66.7,3,100
66,2019-04-12 05:30:00,25,71.6,9,69.7,25,59.8,59,66.3,3,100
67,2019-04-12 05:35:00,20,71.7,8,69.4,30,59.5,58,65.1,3,100
68,2019-04-12 05:40:00,27,71.8,11,69.4,25,61.7,63,67.4,3,100
69,2019-04-12 05:45:00,30,71.9,12,69.1,32,63.4,74,67.8,3,100
70,2019-04-12 05:50:00,34,71.9,13,69.4,37,57.1,84,65.0,3,100
71,2019-04-12 05:55:00,26,71.7,13,69.5,32,60.5,71,66.2,3,100
72,2019-04-12 06:00:00,32,72.0,11,69.6,37,60.7,80,66.4,3,100
73,2019-04-12 06:05:00,25,71.8,12,68.9,30,62.7,67,67.2,3,100
74,2019-04-12 06:10:00,31,71.8,14,69.3,39,63.5,84,67.5,3,100
75,2019-04-12 06:15:00,30,72.1,15,69.6,36,62.4,81,67.3,3,100
76,2019-04-12 06:20:00,32,71.9,15,69.8,37,64.4,84,68.2,3,100
77,2019-04-12 06:25:00,44,72.0,17,69.9,44,63.8,105,68.2,3,100
78,2019-04-12 06:30:00,41,71.7,19,69.6,49,65.9,109,68.7,3,100
79,2019-04-12 06:35:00,39,72.1,14,69.7,40,64.5,93,68.5,3,100
80,2019-04-12 06:40:00,49,71.8,20,70.0,55,64.5,124,68.3,3,100
81,2019-04-12 06:45:00,66,70.1,17,68.5,62,63.8,145,67.2,3,100
82,2019-04-12 06:50:00,59,70.6,21,67.2,65,67.1,145,68.5,3,100
83,2019-04-12 06:55:00,45,70.8,14,68.5,58,67.0,117,68.6,3,100
84,2019-04-12 07:00:00,45,71.6,24,68.6,50,65.0,119,68.2,3,100
85,2019-04-12 07:05:00,46,72.0,21,69.4,45,62.7,112,67.8,3,100
86,2019-04-12 07:10:00,63,71.8,25,69.3,43,62.0,131,68.1,3,100
87,2019-04-12 07:15:00,89,71.2,27,68.9,62,60.5,178,67.1,3,100
88,2019-04-12 07:20:00,60,72.1,24,69.6,42,59.3,126,67.4,3,100
89,2019-04-12 07:25:00,89,71.1,31,69.1,64,61.2,184,67.3,3,100
90,2019-04-12 07:30:00,90,71.8,36,69.5,62,66.7,188,69.7,3,100
91,2019-04-12 07:35:00,76,72.1,37,69.7,70,66.1,183,69.3,3,100
92,2019-04-12 07:40:00,63,72.4,32,70.3,57,65.3,152,69.3,3,100
93,2019-04-12 07:45:00,96,71.1,39,70.6,67,60.6,202,67.5,3,100
94,2019-04-12 07:50:00,88,72.1,39,70.4,72,60.9,199,67.7,3,100
95,2019-04-12 07:55:00,73,71.7,37,70.5,64,61.8,174,67.8,3,100
96,2019-04-12 08:00:00,85,71.9,37,71.2,63,65.4,185,69.5,3,100
97,2019-04-12 08:05:00,69,71.5,39,70.0,63,65.5,171,68.9,3,100
98,2019-04-12 08:10:00,91,71.6,37,68.8,62,63.7,190,68.5,3,100
99,2019-04-12 08:15:00,67,72.3,39,69.7,72,67.5,178,69.8,3,100
100,2019-04-12 08:20:00,97,71.4,46,69.1,79,64.7,222,68.5,3,100
101,2019-04-12 08:25:00,79,71.5,51,67.1,64,59.7,194,66.5,3,100
102,2019-04-12 08:30:00,85,72.1,37,69.2,78,66.1,200,69.2,3,100
103,2019-04-12 08:35:00,70,71.8,26,69.2,60,67.2,156,69.6,3,100
104,2019-04-12 08:40:00,77,71.8,34,69.5,65,70.1,176,70.7,3,100
105,2019-04-12 08:45:00,80,73.1,25,67.7,67,67.8,172,70.3,3,100
106,2019-04-12 08:50:00,67,72.4,31,68.6,65,62.9,163,67.9,3,100
107,2019-04-12 08:55:00,54,71.7,26,69.0,64,61.1,144,66.5,3,100
108,2019-04-12 09:00:00,54,73.1,28,70.0,58,62.5,140,68.1,3,100
109,2019-04-12 09:05:00,61,72.7,26,70.0,48,60.9,135,68.0,3,100
110,2019-04-12 09:10:00,74,71.6,28,70.3,62,60.0,164,67.0,3,100
111,2019-04-12 09:15:00,56,70.9,33,70.2,61,53.8,150,63.8,3,100
112,2019-04-12 09:20:00,66,71.0,30,70.7,53,58.2,149,66.4,3,100
113,2019-04-12 09:25:00,47,70.7,27,70.7,56,59.6,130,65.9,3,100
114,2019-04-12 09:30:00,52,71.2,30,69.9,69,62.3,151,66.9,3,100
115,2019-04-12 09:35:00,54,71.2,26,69.2,55,60.0,135,66.3,3,100
116,2019-04-12 09:40:00,46,71.3,40,68.3,59,58.6,145,65.3,3,100
117,2019-04-12 09:45:00,65,70.9,21,68.1,58,58.0,144,65.3,3,100
118,2019-04-12 09:50:00,44,71.2,25,69.0,58,56.1,127,63.9,3,100
119,2019-04-12 09:55:00,57,69.7,27,68.7,54,55.6,138,64.0,3,100
120,2019-04-12 10:00:00,57,71.5,32,68.1,51,61.4,140,67.0,3,100
121,2019-04-12 10:05:00,49,72.2,41,68.8,54,59.3,144,66.4,3,100
122,2019-04-12 10:10:00,52,72.8,31,69.7,59,60.8,142,67.1,3,100
123,2019-04-12 10:15:00,58,71.4,37,70.3,58,61.9,153,67.5,3,100
124,2019-04-12 10:20:00,57,72.0,33,70.0,51,61.3,141,67.7,3,100
125,2019-04-12 10:25:00,57,72.9,40,70.4,60,60.1,157,67.4,3,100
126,2019-04-12 10:30:00,77,72.9,40,70.6,54,60.5,171,68.4,3,100
127,2019-04-12 10:35:00,60,73.0,33,70.3,60,60.7,153,67.6,3,100
128,2019-04-12 10:40:00,41,72.2,21,69.6,51,58.1,113,65.4,3,100
129,2019-04-12 10:45:00,47,72.9,39,69.1,70,63.5,156,67.7,3,100
130,2019-04-12 10:50:00,56,73.3,33,68.5,66,63.0,155,67.9,3,100
131,2019-04-12 10:55:00,58,73.0,34,69.9,51,58.8,143,67.2,3,100
132,2019-04-12 11:00:00,42,72.8,23,69.7,59,63.9,124,68.0,3,100
133,2019-04-12 11:05:00,60,73.9,29,68.7,56,63.6,145,68.9,3,100
134,2019-04-12 11:10:00,64,71.6,35,69.3,68,64.5,167,68.2,3,100
135,2019-04-12 11:15:00,68,71.7,31,69.3,58,63.6,157,68.2,3,100
136,2019-04-12 11:20:00,53,72.0,25,69.9,63,64.4,141,68.2,3,100
137,2019-04-12 11:25:00,53,72.5,29,70.3,59,63.3,141,68.2,3,100
138,2019-04-12 11:30:00,53,69.8,28,70.3,72,63.1,153,66.7,3,100
139,2019-04-12 11:35:00,64,71.3,39,70.4,67,66.6,170,69.2,3,100
140,2019-04-12 11:40:00,56,71.4,44,71.8,64,68.2,164,70.3,3,100
141,2019-04-12 11:45:00,52,71.3,31,70.5,57,62.9,140,67.7,3,100
142,2019-04-12 11:50:00,41,71.9,21,69.7,46,63.9,108,68.1,3,100
