,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
0,2019-05-17 00:00:00,13,71.9,4,69.7,20,62.7,37,66.7,3,100
1,2019-05-17 00:05:00,10,71.9,0,69.7,10,63.2,20,67.5,3,100
2,2019-05-17 00:10:00,12,72.0,7,69.9,10,61.4,29,67.8,3,100
3,2019-05-17 00:15:00,9,71.9,4,69.7,10,62.3,23,67.3,3,100
4,2019-05-17 00:20:00,3,71.8,7,69.9,13,63.4,23,66.5,3,100
5,2019-05-17 00:25:00,14,71.8,0,69.9,10,63.2,24,68.2,3,100
6,2019-05-17 00:30:00,5,71.8,0,69.9,5,63.1,10,67.5,3,100
7,2019-05-17 00:35:00,5,71.9,2,69.8,8,63.3,15,67.0,3,100
8,2019-05-17 00:40:00,10,72.1,0,69.8,8,62.4,18,67.8,3,100
9,2019-05-17 00:45:00,7,72.1,2,70.0,7,62.9,16,67.8,3,100
10,2019-05-17 00:50:00,3,72.0,3,69.4,5,62.5,11,67.0,3,100
11,2019-05-17 00:55:00,11,71.9,4,69.5,13,63.2,28,67.5,3,100
12,2019-05-17 01:00:00,8,71.9,0,69.5,6,62.3,14,67.8,3,100
13,2019-05-17 01:05:00,4,71.7,0,69.5,8,62.5,12,65.6,3,100
14,2019-05-17 01:10:00,3,72.1,1,69.5,6,62.2,10,65.9,3,100
15,2019-05-17 01:15:00,3,71.9,2,69.6,8,62.2,13,65.6,3,100
16,2019-05-17 01:20:00,8,72.0,3,70.6,10,60.5,21,66.3,3,100
17,2019-05-17 01:25:00,10,72.0,0,70.6,6,61.9,16,68.2,3,100
18,2019-05-17 01:30:00,3,72.0,4,70.2,13,62.7,20,65.6,3,100
19,2019-05-17 01:35:00,5,71.9,10,70.0,10,58.2,25,65.7,3,100
20,2019-05-17 01:40:00,8,71.9,2,69.9,19,59.5,29,63.6,3,100
21,2019-05-17 01:45:00,11,71.9,5,69.8,15,61.9,31,66.7,3,100
22,2019-05-17 01:50:00,6,71.8,1,69.8,6,62.0,13,67.1,3,100
23,2019-05-17 01:55:00,4,71.9,0,69.8,8,62.7,12,65.8,3,100
24,2019-05-17 02:00:00,1,71.9,0,69.8,5,61.8,6,63.5,3,100
25,2019-05-17 02:05:00,3,71.9,0,69.8,16,61.8,19,63.4,3,100
26,2019-05-17 02:10:00,10,71.9,3,69.5,10,60.7,23,66.7,3,100
27,2019-05-17 02:15:00,6,71.9,0,69.5,4,61.9,10,67.9,3,100
28,2019-05-17 02:20:00,5,72.1,0,69.5,5,62.6,10,67.3,3,100
29,2019-05-17 02:25:00,4,72.0,2,69.4,2,62.9,8,69.1,3,100
